sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A9 F77 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:16:39 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A9 F77 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:14:55 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A11 F20 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:32:50 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A11 F20 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:21:23 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A11 F44 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:20:02 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A11 F44 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:19:09 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A11 F83 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:53:09 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A11 F83 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:13:09 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A13 F25 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:08:07 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A13 F25 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:03:29 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A13 F51 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:26:24 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A13 F51 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:16:02 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A13 F87 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:21:05 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A13 F87 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:50:48 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F2 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:45:54 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F2 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:34:47 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F7 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:29:44 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F7 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:33:48 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F21 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:06:04 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F21 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:19:58 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F27 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:11:18 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A14 F27 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,09:24:54 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A16 F28 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:54:12 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A16 F28 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:05:56 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
