sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A6 F27 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,11:23:56 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A6 F110 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,13:49:56 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A6 F110 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,00:09:57 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A6 F110 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,10:49:58 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A7 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,23:21:15 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A7 F17 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,02:41:05 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A7 F28 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,00:45:57 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A7 F97 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,20:09:13 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A7 F97 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,20:47:02 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A7 F97 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,02:16:36 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A8 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,05:57:35 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A8 F17 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,03:17:29 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A8 F27 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,19:01:02 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A8 F110 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,13:17:38 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A8 F110 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,23:27:56 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A8 F110 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,05:18:04 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A9 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,10:14:27 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A9 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,19:06:11 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A10 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,06:25:09 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A10 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,10:05:02 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A11 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,01:27:06 27 Feb 2020,pgi,CCK,Elsayed Mohamed,
A11 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,22:29:59 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A11 F4 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,21:50:33 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A12 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,14:43:07 24 Feb 2020,pgi,CCK,Elsayed Mohamed,
A12 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,09:03:47 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A12 F4 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,06:03:46 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A13 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,13:05:40 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A13 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,19:32:19 24 Feb 2020,pgi,CCK,Elsayed Mohamed,
A14 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,09:29:36 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A14 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,04:18:15 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A15 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,07:18:08 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A15 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,13:24:43 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A16 F1 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,01:19:49 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A16 F3 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,20:57:46 24 Feb 2020,pgi,CCK,Elsayed Mohamed,
